,Time to double,Rule of 70,Computational_Solution
1,69.66071689357483,70.0,69.42000000000016
2,35.0027887811465,35.0,36.0
3,23.449772250437736,23.333333333333332,23.380000000000045
4,17.672987685129698,17.5,17.620000000000083
5,14.206699082890463,14.0,14.169999999999998
6,11.895661045941875,11.666666666666666,11.869999999999983
7,10.244768351058712,10.0,10.219999999999997
8,9.006468342000588,8.75,10.0
9,8.043231726932046,7.777777777777778,8.07100000000001
10,7.272540897341713,7.0,7.259999999999996
